Datum;Tijd;Parameter;Locatie;Meting;Verwachting;Astronomisch getijden;Eenheid;Bemonsteringshoogte;Referentievlak;
6-6-2018;12:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;37;;;cm;-999999999;NAP;
6-6-2018;12:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;41;;;cm;-999999999;NAP;
6-6-2018;13:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;44;;;cm;-999999999;NAP;
6-6-2018;13:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;47;;;cm;-999999999;NAP;
6-6-2018;13:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;50;;;cm;-999999999;NAP;
6-6-2018;13:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;53;;;cm;-999999999;NAP;
6-6-2018;13:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;56;;;cm;-999999999;NAP;
6-6-2018;13:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;59;;;cm;-999999999;NAP;
6-6-2018;14:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;61;;;cm;-999999999;NAP;
6-6-2018;14:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;64;;;cm;-999999999;NAP;
6-6-2018;14:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;66;;;cm;-999999999;NAP;
6-6-2018;14:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;68;;;cm;-999999999;NAP;
6-6-2018;14:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;70;;;cm;-999999999;NAP;
6-6-2018;14:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;71;;;cm;-999999999;NAP;
6-6-2018;15:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;72;;;cm;-999999999;NAP;
6-6-2018;15:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;71;;;cm;-999999999;NAP;
6-6-2018;15:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;69;;;cm;-999999999;NAP;
6-6-2018;15:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;68;;;cm;-999999999;NAP;
6-6-2018;15:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;66;;;cm;-999999999;NAP;
6-6-2018;15:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;62;;;cm;-999999999;NAP;
6-6-2018;16:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;58;;;cm;-999999999;NAP;
6-6-2018;16:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;West-Terschelling;53;;;cm;-999999999;NAP;
